course_id,learner_id,viewed,explored,certified,grade,nevents,ndays_act,learner_rating
11,142,5,0,0,0.0,0.001222264009026,0.073170731707317,0.514878599143269
0,143,5,0,0,0.0,0.001692365550959,0.024390243902439,0.50521652189068
3,144,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,145,5,0,0,0.0,0.035539676570139,0.121951219512195,0.531498179216467
4,146,5,0,0,0.01,0.059702895825498,0.097560975609756,0.531452774287051
4,147,5,0,0,0.0,0.003008649868372,0.097560975609756,0.520113925095626
10,148,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
7,149,5,0,0,0.03,0.063839789394509,0.097560975609756,0.532280153000853
4,150,5,0,0,0.0,0.012504701015419,0.048780487804878,0.51225703776406
9,151,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
9,152,5,0,0,0.0,0.001034223392253,0.048780487804878,0.509962942239426
4,152,5,0,0,0.0,0.001034223392253,0.024390243902439,0.505084893458938
9,153,5,5,0,0.0,0.007239563745769,0.048780487804878,1.51120401031013
12,153,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
0,153,5,0,0,0.0,0.003948852952238,0.048780487804878,0.510545868151423
1,153,0,0,0,0.0,0.00028206092516,0.048780487804878,0.009812509746008
4,154,5,0,0,0.0,0.009872132380594,0.024390243902439,0.506852475256607
10,155,5,0,0,0.0,0.003854832643851,0.024390243902439,0.505649015309258
2,155,5,0,0,0.0,0.002444528018052,0.024390243902439,0.505366954384098
3,156,0,0,0,0.0,0.000188040616773,0.073170731707317,0.014671754464818
4,156,5,0,0,0.24,0.043155321549455,0.195121951219512,0.547655454553793
6,156,5,0,0,0.0,0.0,0.024390243902439,0.504878048780488
2,157,5,0,0,0.0,0.114986837156826,1.0,0.722997367431365
5,157,0,0,0,0.0,0.000376081233546,0.024390243902439,0.004953265027197
4,158,5,0,0,0.01,0.025009402030839,0.146341463414634,0.534270173089095
9,159,5,5,0,0.0,0.004042873260624,0.170731707317073,1.53495491611554
9,160,0,0,0,0.0,0.000376081233546,0.024390243902439,0.004953265027197
4,161,5,0,0,0.0,0.000752162467093,0.024390243902439,0.505028481273906
11,162,5,0,0,0.03,0.029710417450169,0.170731707317073,0.540088424953449
10,163,5,0,0,0.0,0.002256487401279,0.024390243902439,0.505329346260744
4,164,5,0,0,0.0,0.05048890560361,0.073170731707317,0.524731927462186
12,165,5,0,0,0.0,0.006863482512223,0.024390243902439,0.506250745282932
11,166,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,166,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
8,167,0,0,0,0.0,0.0,0.0,0.0
7,167,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
12,168,0,0,0,0.0,0.00028206092516,0.024390243902439,0.00493446096552
11,169,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,170,5,0,0,0.0,0.005453177886423,0.073170731707317,0.515724781918748
10,171,5,0,0,0.06,0.096182775479504,0.829268292682927,0.685090213632486
7,172,5,0,0,0.0,0.078412937194434,0.073170731707317,0.53031673378035
4,173,0,0,0,0.0,0.001128243700639,0.121951219512195,0.024615892642567
5,174,5,0,0,0.03,0.005077096652877,0.024390243902439,0.505893468111063
9,175,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
9,176,5,5,0,0.0,0.007897705904475,0.365853658536585,1.57475027288821
3,177,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
2,178,0,0,0,0.0,0.00028206092516,0.024390243902439,0.00493446096552
9,179,5,0,0,0.0,0.00056412185032,0.024390243902439,0.504990873150552
4,180,5,0,0,0.0,0.006863482512223,0.170731707317073,0.535519037965859
9,181,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
12,182,0,0,0,0.0,0.000376081233546,0.024390243902439,0.004953265027197
12,183,5,0,0,0.0,0.015701391500564,0.073170731707317,0.517774424641576
12,184,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
9,185,5,0,0,0.0,0.006957502820609,0.146341463414634,0.530659793247049
11,186,0,0,0,0.0,0.000470101541933,0.024390243902439,0.004972069088874
1,187,5,0,0,0.0,0.02858217374953,0.121951219512195,0.530106678652345
4,187,5,0,0,0.0,0.004795035727717,0.024390243902439,0.505837055926031
6,187,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
9,188,5,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.504896852842165
4,188,5,0,0,0.0,0.010154193305754,0.097560975609756,0.521543033783102
7,188,5,0,0,0.0,0.011000376081234,0.146341463414634,0.531468367899173
3,189,5,0,0,0.0,0.001410304625799,0.024390243902439,0.505160109705648
12,190,5,0,0,0.0,0.002068446784505,0.048780487804878,0.510169786917877
4,191,5,0,0,0.0,0.026325686348251,0.097560975609756,0.524777332391601
